Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.48     0.00       12     0.00     0.00  std::iterator_traits<unsigned long*>::iterator_category std::__iterator_category<unsigned long*>(unsigned long* const&)
  0.00      2.48     0.00       12     0.00     0.00  unsigned long* std::uninitialized_fill_n<unsigned long*, unsigned long, unsigned long>(unsigned long*, unsigned long, unsigned long const&)
  0.00      2.48     0.00       12     0.00     0.00  unsigned long* std::__uninitialized_fill_n_a<unsigned long*, unsigned long, unsigned long, unsigned long>(unsigned long*, unsigned long, unsigned long const&, std::allocator<unsigned long>&)
  0.00      2.48     0.00       12     0.00     0.00  unsigned long* std::fill_n<unsigned long*, unsigned long, unsigned long>(unsigned long*, unsigned long, unsigned long const&)
  0.00      2.48     0.00       12     0.00     0.00  void std::_Destroy<unsigned long*>(unsigned long*, unsigned long*)
  0.00      2.48     0.00       12     0.00     0.00  void std::_Destroy<unsigned long*, unsigned long>(unsigned long*, unsigned long*, std::allocator<unsigned long>&)
  0.00      2.48     0.00       12     0.00     0.00  void std::__fill_a<unsigned long*, unsigned long>(unsigned long*, unsigned long*, unsigned long const&)
  0.00      2.48     0.00       12     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<unsigned long>::__value, void>::__type std::__fill_a1<unsigned long*, unsigned long>(unsigned long*, unsigned long*, unsigned long const&)
  0.00      2.48     0.00       11     0.00     0.00  HashMap<int>::quadratic_probe(unsigned long) const
  0.00      2.48     0.00       10     0.00     0.00  __gnu_cxx::new_allocator<HashMap<int>::Entry>::_M_max_size() const
  0.00      2.48     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<HashMap<int>::Entry>::max_size() const
  0.00      2.48     0.00        8     0.00     0.00  std::_Vector_base<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> >::_M_get_Tp_allocator() const
  0.00      2.48     0.00        8     0.00     0.00  std::vector<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> >::max_size() const
